Time,aggregate
2021-02-22 16:21:25.670,0
2021-02-22 16:21:55.777,0.069
2021-02-22 16:22:25.777,0.589
2021-02-22 16:22:55.843,0.654
2021-02-22 16:23:25.870,1.085
2021-02-22 16:23:55.867,1.146
2021-02-22 16:24:25.837,1.142
2021-02-22 16:24:55.880,1.11
2021-02-22 16:25:25.937,1.126
2021-02-22 16:25:56.000,1.13
2021-02-22 16:26:25.963,1.125
2021-02-22 16:26:55.950,1.126
2021-02-22 16:27:25.927,1.143
2021-02-22 16:27:56.017,1.155
2021-02-22 16:28:25.990,1.163
2021-02-22 16:28:55.967,1.131
2021-02-22 16:29:25.967,1.164
2021-02-22 16:29:55.973,1.339
2021-02-22 16:30:25.940,1.17
2021-02-22 16:30:56.057,1.53
2021-02-22 16:31:26.040,1.637
2021-02-22 16:31:56.063,1.481
2021-02-22 16:32:26.097,1.539
2021-02-22 16:32:56.097,1.671
2021-02-22 16:33:26.057,1.731
2021-02-22 16:33:56.120,1.725
2021-02-22 16:34:26.110,1.69
2021-02-22 16:34:56.100,1.72
2021-02-22 16:35:26.103,1.504
2021-02-22 16:35:56.097,1.733
2021-02-22 16:36:26.060,1.508
2021-02-22 16:36:56.100,1.553
2021-02-22 16:37:26.117,1.542
2021-02-22 16:37:56.073,1.542
2021-02-22 16:38:26.140,1.571
2021-02-22 16:38:56.127,1.584
2021-02-22 16:39:26.153,1.61
2021-02-22 16:39:56.157,1.552
2021-02-22 16:40:26.187,1.556
2021-02-22 16:40:56.267,1.426
2021-02-22 16:41:26.267,1.425
2021-02-22 16:41:56.263,1.653
2021-02-22 16:42:26.280,1.305
2021-02-22 16:42:56.383,1.302
2021-02-22 16:43:26.290,1.269
2021-02-22 16:43:56.373,1.26
2021-02-22 16:44:26.273,1.181
2021-02-22 16:44:56.340,1.172
2021-02-22 16:45:26.413,1.192
2021-02-22 16:45:56.357,1.163
2021-02-22 16:46:26.437,1.15
2021-02-22 16:46:56.420,1.174
2021-02-22 16:47:26.417,1.402
2021-02-22 16:47:56.473,1.252
2021-02-22 16:48:26.503,1.155
2021-02-22 16:48:56.460,1.009
2021-02-22 16:49:26.517,1.01
2021-02-22 16:49:56.520,0.976
2021-02-22 16:50:26.587,0.922
2021-02-22 16:50:56.560,0.827
2021-02-22 16:51:26.583,1.115
2021-02-22 16:51:56.567,1.081
2021-02-22 16:52:26.607,1.148
2021-02-22 16:52:56.633,1.155
2021-02-22 16:53:26.657,1.166
2021-02-22 16:53:56.607,1.154
2021-02-22 16:54:26.593,0.973
2021-02-22 16:54:56.773,1.023
2021-02-22 16:55:26.647,1.131
2021-02-22 16:55:56.570,1.141
2021-02-22 16:56:26.647,1.144
2021-02-22 16:56:56.597,1.142
2021-02-22 16:57:26.697,1.134
2021-02-22 16:57:56.650,1.106
2021-02-22 16:58:26.677,1.163
2021-02-22 16:58:56.670,1.243
2021-02-22 16:59:26.743,1.237
2021-02-22 16:59:56.723,1.233
2021-02-22 17:00:26.713,1.022
2021-02-22 17:00:56.720,0.997
2021-02-22 17:01:26.713,1.155
2021-02-22 17:01:56.713,1.136
2021-02-22 17:02:26.787,1.149
2021-02-22 17:02:56.667,1.159
2021-02-22 17:03:26.700,1.153
2021-02-22 17:03:56.793,1.148
2021-02-22 17:04:26.813,1.179
2021-02-22 17:04:56.847,1.176
2021-02-22 17:05:26.887,1.228
2021-02-22 17:05:56.923,1.235
2021-02-22 17:06:26.980,1.014
2021-02-22 17:06:56.837,1.017
2021-02-22 17:07:26.957,1.157
2021-02-22 17:07:56.937,1.135
2021-02-22 17:08:26.953,1.146
2021-02-22 17:08:57.007,1.151
2021-02-22 17:09:26.997,1.14
2021-02-22 17:09:57.080,1.149
2021-02-22 17:10:27.177,1.164
2021-02-22 17:10:57.110,1.072
2021-02-22 17:11:27.060,0.886
2021-02-22 17:11:57.097,0.875
2021-02-22 17:12:27.100,0.879
2021-02-22 17:12:57.157,0.902
2021-02-22 17:13:27.250,1.152
2021-02-22 17:13:57.167,1.156
2021-02-22 17:14:27.180,1.166
2021-02-22 17:14:57.227,1.165
2021-02-22 17:15:27.160,1.158
2021-02-22 17:15:57.227,1.106
2021-02-22 17:16:27.317,1.19
2021-02-22 17:16:57.207,1.262
2021-02-22 17:17:27.283,0.996
2021-02-22 17:17:57.363,1.011
2021-02-22 17:18:27.290,1.013
2021-02-22 17:18:57.290,0.929
2021-02-22 17:19:27.327,0.823
2021-02-22 17:19:57.237,0.825
2021-02-22 17:20:27.357,0.855
2021-02-22 17:20:57.247,0.848
2021-02-22 17:21:27.327,0.874
2021-02-22 17:21:57.327,1.141
2021-02-22 17:22:27.427,1.149
2021-02-22 17:22:57.283,1.223
2021-02-22 17:23:27.300,1.325
2021-02-22 17:23:57.257,1.288
2021-02-22 17:24:27.477,1.042
2021-02-22 17:24:57.270,1.033
2021-02-22 17:25:27.310,1.224
2021-02-22 17:25:57.367,1.018
2021-02-22 17:26:27.270,1.177
2021-02-22 17:26:57.367,1.001
2021-02-22 17:27:27.420,0.999
2021-02-22 17:27:57.377,0.936
2021-02-22 17:28:27.433,0.993
2021-02-22 17:28:57.490,1.024
2021-02-22 17:29:27.537,1.026
2021-02-22 17:29:57.580,0.899
2021-02-22 17:30:27.510,0.799
2021-02-22 17:30:57.550,0.01
